INDEX,MS TIMESTAMP,PRICE,VOLUME
1,1532971614331,8082.87,0.302889
2,1532971614331,8082.86,0.05
3,1532971614331,8082.84,0.001238
4,1532971614331,8082.73,0.426107
5,1532971614331,8082.43,0.401671
6,1532971614331,8082.19,0.012372
7,1532971614331,8081.32,3.401725
8,1532971614331,8081.23,3.0
9,1532971614331,8081.22,0.781239
10,1532971614331,8081.0,0.051149
11,1532971614331,8080.68,0.5
12,1532971614331,8080.58,0.300722
13,1532971614331,8080.0,1.502217
14,1532971614390,8080.0,1.0
15,1532971614460,8080.0,0.1403
16,1532971614621,8080.0,0.002972
17,1532971614635,8080.0,0.014266
18,1532971614682,8080.0,0.009
19,1532971614790,8080.0,0.003
20,1532971614887,8080.0,0.144124
21,1532971615015,8080.0,0.761996
22,1532971615015,8080.0,1.335233
23,1532971615041,8080.0,0.046
24,1532971615080,8080.0,0.0024
25,1532971615090,8080.0,0.100019
26,1532971615304,8080.0,0.003671
27,1532971615345,8079.93,3.981368
28,1532971615523,8080.0,0.095969
29,1532971615540,8079.93,0.106711
30,1532971615578,8079.93,0.030148
31,1532971615646,8080.0,1.0
32,1532971615866,8080.0,0.02
33,1532971616226,8080.0,0.010359
34,1532971616748,8080.0,0.01263
35,1532971617017,8080.0,1.0
36,1532971617066,8080.0,0.011632
37,1532971617109,8080.0,0.105747
38,1532971617541,8080.0,0.0185
39,1532971617755,8080.0,0.1
40,1532971618377,8080.0,0.2918
41,1532971618412,8079.97,0.103094
42,1532971618426,8079.95,0.244785
43,1532971618440,8079.95,0.055426
44,1532971618641,8079.94,0.005955
45,1532971619182,8080.0,0.0025
46,1532971619508,8080.0,0.029694
47,1532971619550,8079.94,0.05
48,1532971619598,8080.0,0.080968
49,1532971620120,8080.0,0.257785
50,1532971620739,8080.0,0.308184
51,1532971620755,8080.0,0.04
52,1532971620907,8080.0,0.155471
53,1532971620956,8080.0,0.001985
54,1532971621358,8080.0,0.001985
55,1532971621548,8080.0,0.029807
56,1532971621597,8079.94,0.009584
57,1532971623645,8080.0,0.743458
58,1532971623926,8079.95,0.007684
59,1532971623926,8079.94,0.028316
60,1532971624775,8079.94,0.15863
61,1532971624775,8079.94,0.135633
62,1532971624781,8079.94,0.154399
63,1532971624920,8079.94,0.128565
64,1532971624929,8079.93,0.077646
65,1532971624950,8079.93,0.183217
66,1532971625157,8079.94,0.118973
67,1532971625402,8079.94,0.099319
68,1532971625537,8079.94,0.242571
69,1532971625572,8079.94,0.381795
70,1532971626234,8079.94,0.008679
71,1532971626380,8079.94,0.241253
72,1532971626632,8079.94,0.077231
73,1532971626683,8079.94,0.002876
74,1532971627025,8079.94,0.169603
75,1532971627113,8079.93,1.404197
76,1532971627164,8079.94,0.114871
77,1532971627639,8079.94,0.587239
78,1532971627805,8079.94,0.001823
79,1532971627986,8079.94,0.165364
80,1532971628084,8079.94,0.080642
81,1532971628151,8079.94,0.096372
82,1532971628291,8079.94,1.12863
83,1532971628291,8080.0,0.216768
84,1532971628540,8080.0,0.124172
85,1532971628542,8080.0,0.129435
86,1532971629890,8080.0,0.05
87,1532971629953,8080.0,0.019
88,1532971629971,8079.94,0.012248
89,1532971629978,8080.0,0.02
90,1532971630055,8080.0,0.0922
91,1532971631517,8080.0,0.062662
92,1532971632205,8080.0,0.04
93,1532971632264,8080.0,0.006159
94,1532971633382,8079.98,0.360151
95,1532971633467,8080.0,0.082994
96,1532971634171,8080.0,0.024456
97,1532971634222,8080.0,0.0899
98,1532971634244,8080.0,0.088552
99,1532971634248,8080.0,0.175
100,1532971634254,8080.0,0.20653
101,1532971634404,8079.96,0.227944
102,1532971634916,8080.0,0.092451
103,1532971635386,8080.0,0.024472
104,1532971635791,8080.0,0.061215
105,1532971636567,8079.99,1e-05
106,1532971637324,8080.0,0.021752
107,1532971637420,8080.0,0.011581
108,1532971638443,8080.01,0.004695
109,1532971638574,8080.02,0.009406
110,1532971638772,8080.02,0.0293
111,1532971640314,8082.32,0.065812
112,1532971645343,8081.59,2.0
113,1532971645343,8080.03,0.151562
114,1532971645343,8080.02,7.451494
115,1532971645343,8080.0,0.191419
116,1532971645359,8080.0,0.005113
117,1532971645418,8080.0,0.009862
118,1532971645515,8080.0,0.416056
119,1532971646073,8080.0,0.0999
120,1532971646124,8080.0,0.001343
121,1532971646390,8080.0,0.002377
122,1532971647256,8080.0,0.024376
123,1532971649210,8080.0,0.074235
124,1532971649382,8079.99,0.096367
125,1532971649402,8079.98,0.048669
126,1532971649457,8079.97,0.009565
127,1532971649550,8080.0,0.154672
128,1532971651405,8079.98,0.005108
129,1532971652091,8080.0,1.0
130,1532971652116,8080.0,0.267327
131,1532971652136,8080.0,0.515884
132,1532971652181,8080.0,0.1123
133,1532971652480,8080.0,0.0997
134,1532971652540,8080.0,0.05
135,1532971652562,8080.0,0.2471
136,1532971652710,8080.0,0.337121
137,1532971652732,8080.0,0.469588
138,1532971652737,8080.0,1.04
