MS TIMESTAMP,PRICE,VOLUME
1530218466188,6050.0,0.039646
1530218466255,6050.0,0.039658
1530218466273,6049.99,0.009754
1530218466323,6050.0,1e-06
1530218466366,6050.0,0.101843
1530218466424,6050.0,0.010169
1530218466445,6050.0,0.039622
1530218466445,6050.0,0.00518
1530218466581,6050.0,0.00389
1530218466696,6050.0,0.689335
1530218466860,6050.0,1e-06
1530218466873,6049.99,0.077475
1530218466938,6050.0,0.00262
1530218467102,6050.0,0.003239
1530218467272,6050.0,0.600761
1530218467325,6050.0,0.04482
1530218467394,6050.0,0.217
1530218467396,6050.0,1e-06
1530218467605,6050.0,1e-06
1530218467627,6050.0,0.003597
1530218467637,6049.99,0.028922
1530218467734,6050.0,0.015
1530218467813,6050.0,1e-06
1530218468036,6049.99,1e-06
1530218468100,6050.0,0.003112
1530218468319,6050.0,0.0102
1530218468362,6049.99,0.575416
1530218468477,6050.0,0.8264
1530218468501,6050.0,0.005135
1530218468549,6050.0,5.134595
1530218468577,6050.0,0.05
1530218468716,6050.0,3.903094
1530218469035,6050.5,0.412676
1530218469042,6052.03,0.012
1530218469053,6052.03,0.048
1530218469053,6052.04,0.035535
1530218469053,6054.97,0.309643
1530218469114,6050.17,0.712866
1530218469114,6050.0,0.295705
1530218469204,6054.97,0.190357
1530218469204,6055.3,0.051814
1530218469204,6055.31,0.601608
1530218469563,6055.31,0.05
1530218470156,6054.76,0.002
1530218470181,6055.0,0.005
1530218470312,6054.76,1.0
1530218470359,6054.76,0.007187
1530218470623,6055.31,0.002372
1530218470639,6054.76,0.9908
1530218470646,6054.76,1.3e-05
1530218470646,6052.05,0.00594
1530218470937,6055.31,0.009
1530218471716,6055.31,0.025526
1530218471890,6052.07,0.003291
1530218472087,6055.31,0.002576
1530218472297,6052.09,0.000214
1530218472448,6052.1,0.000213
1530218472487,6055.31,0.008
1530218472528,6052.11,0.000214
1530218473548,6055.31,0.180249
1530218473607,6055.31,0.008126
1530218473607,6055.65,0.5
1530218473607,6056.0,1.948259
1530218473607,6056.01,0.019302
1530218473607,6057.0,0.467481
1530218473621,6057.0,0.070151
1530218473794,6053.31,0.1287
1530218473861,6057.0,0.005
1530218474151,6056.8,1.3
1530218474170,6056.8,0.2
1530218474276,6056.8,0.098
1530218474326,6052.2,0.101517
1530218474423,6056.8,0.402
1530218474423,6057.0,1.597999
1530218474518,6057.0,0.005
1530218474615,6057.0,1.77271
1530218474615,6058.0,0.115864
1530218474615,6058.99,0.324751
1530218474615,6059.0,0.786675
